long1,long2,lat1,lat2
4.654245796859225,4.6105971,51.48587835,51.6468
4.6105971,5.066061908648313,51.6468,51.585618749999995
5.066061908648313,4.3113461,51.585618749999995,52.0799838
4.3113461,-0.1276474,52.0799838,51.5073219
-0.1276474,2.3200410217200766,51.5073219,48.8588897
2.3200410217200766,4.6779351,48.8588897,51.7958812
4.6779351,4.8936041,51.7958812,52.3727598
4.8936041,3.8577625107688713,52.3727598,50.40551965
3.8577625107688713,4.351697,50.40551965,50.8465573
4.351697,6.3404632,50.8465573,51.9161169
6.3404632,4.3113461,51.9161169,52.0799838
4.3113461,6.6368423,52.0799838,52.9067922
6.6368423,5.544006988824241,52.9067922,51.48603
5.544006988824241,4.3997081,51.48603,51.2211097
4.3997081,2.3200410217200766,51.2211097,48.8588897
2.3200410217200766,4.6309653,48.8588897,43.6776223
4.6309653,6.8283249,43.6776223,48.3476386
6.8283249,2.1718687,48.3476386,49.0701875
